collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2020200947347,2020,200947347,2,1,1,2,37,7,3,0,0,0,0,0,9,3,E01009077,3,1,0,1,-1
2020460998039,2020,460998039,1,2,2,1,17,4,3,0,0,2,0,0,9,2,E01003266,3,1,0,1,-1
2020040949166,2020,040949166,2,1,1,1,34,6,1,0,0,0,0,0,97,1,E01025171,1,1,0,0,-1
2020200965314,2020,200965314,1,1,1,1,23,5,3,0,0,0,0,0,9,1,E01033642,3,1,0,1,-1
2020522002062,2020,522002062,1,1,1,2,24,5,3,0,0,0,0,0,9,3,E01014948,-1,0,0.01257,0.98743,-1
2020430370302,2020,430370302,1,1,1,2,26,6,3,0,0,0,0,0,1,7,E01017925,-1,0,0.0319,0.9681,-1
2020200989923,2020,200989923,1,1,1,1,68,10,3,0,0,0,0,0,9,2,E01009623,3,1,0,1,-1
2020361008237,2020,361008237,1,2,1,2,19,4,3,0,0,0,0,0,9,8,E01026578,3,1,0,1,-1
2020410982862,2020,410982862,2,2,2,2,21,5,3,0,0,1,0,0,9,4,E01024377,3,1,0,1,-1
2020140980518,2020,140980518,1,1,3,2,64,9,2,5,3,0,0,0,0,2,E01007348,5,1,1,0,-1
2020200991341,2020,200991341,1,1,3,2,56,9,3,6,9,0,0,2,0,3,E01009178,3,1,0,1,-1
2020052000338,2020,052000338,2,2,1,1,57,9,3,0,0,0,0,0,8,1,E01033767,-1,0,0.03857,0.96143,-1
2020302000370,2020,302000370,1,1,2,-1,-1,-1,3,0,0,0,2,0,11,5,E01019456,-1,0,0.02036,0.97964,-1
202006F178608,2020,06F178608,2,1,1,2,49,8,3,0,0,0,0,0,1,1,E01005602,-1,0,0.14252,0.85748,-1
2020010261083,2020,010261083,2,1,1,1,22,5,2,0,0,0,0,0,2,-1,-1,-1,0,1,0,-1
2020140963285,2020,140963285,1,1,3,1,6,2,2,9,9,0,0,0,0,9,E01007601,7,1,1,0,-1
2020137652003,2020,137652003,1,1,3,1,52,8,2,5,3,0,0,0,0,-1,-1,-1,0,1,0,-1
2020350959381,2020,350959381,3,3,1,1,25,5,3,0,0,0,0,0,9,7,E01018022,3,1,0,1,-1
2020440417027,2020,440417027,2,1,1,1,60,9,3,0,0,0,0,0,9,7,E01031961,-1,0,0.02939,0.97061,-1
