collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2020052000382,2020,052000382,1,1,3,1,11,3,3,8,3,0,0,0,0,-1,-1,-1,0,0.14821,0.85179,-1
2020230984311,2020,230984311,3,2,1,1,48,8,3,0,0,0,0,0,9,9,E01031288,3,1,0,1,-1
2020990940007,2020,990940007,1,3,1,1,40,7,2,0,0,0,0,0,9,-1,-1,6,1,1,0,-1
20201371A1810,2020,1371A1810,2,1,2,1,29,6,3,0,0,0,0,0,97,1,E01011625,-1,0,0.09301,0.90699,-1
2020160997714,2020,160997714,1,1,3,1,51,8,3,5,2,0,0,0,0,1,E01013142,3,1,0,1,-1
2020010286027,2020,010286027,1,1,1,1,36,7,3,0,0,0,0,0,1,3,E01003145,-1,0,0,1,-1
2020400985622,2020,400985622,1,1,1,1,81,11,3,0,0,0,0,0,9,7,E01017437,3,1,0,1,-1
2020990931083,2020,990931083,1,1,3,2,14,3,3,5,1,0,0,0,0,-1,-1,3,1,0,1,-1
2020010260309,2020,010260309,1,1,1,1,34,6,3,0,0,0,0,0,3,5,E01004057,-1,0,0,1,-1
202060Y138728,2020,60Y138728,2,1,1,1,21,5,3,0,0,0,0,0,9,-1,-1,-1,0,0.00979,0.99021,-1
202006A175230,2020,06A175230,2,1,1,2,27,6,3,0,0,0,0,0,1,4,E01005629,-1,0,0.11046,0.88954,-1
2020460927073,2020,460927073,1,1,2,2,88,11,3,0,0,1,0,0,9,10,E01024139,3,1,0,1,-1
2020200995178,2020,200995178,2,2,1,1,56,9,3,0,0,0,0,0,9,7,E01009251,3,1,0,1,-1
2020990969207,2020,990969207,2,1,1,2,74,10,3,0,0,0,0,0,9,6,-1,3,1,0,1,-1
2020320579619,2020,320579619,2,1,1,2,54,8,2,0,0,0,0,0,1,8,E01026035,-1,0,1,0,-1
2020531008514,2020,531008514,2,1,1,1,81,11,2,0,0,0,0,0,1,7,E01022287,7,1,1,0,-1
2020140933837,2020,140933837,2,1,1,1,17,4,3,0,0,0,0,0,3,-1,-1,3,1,0,1,-1
2020010247439,2020,010247439,1,1,1,2,25,5,3,0,0,0,0,0,9,3,E01001141,-1,0,0,1,-1
2020040923879,2020,040923879,2,2,1,2,20,4,3,0,0,0,0,0,9,7,E01025279,3,1,0,1,-1
2020100921921,2020,100921921,2,3,1,1,64,9,3,0,0,0,0,0,21,6,E01019200,3,1,0,1,-1
2020552000434,2020,552000434,2,1,1,1,24,5,3,0,0,0,0,0,1,6,E01015462,-1,0,0.11187,0.88813,-1
2020430075231,2020,430075231,1,1,1,1,34,6,3,0,0,0,0,0,9,4,E01031917,-1,0,0.04211,0.95789,-1
2020552000726,2020,552000726,1,1,2,1,73,10,3,0,0,1,0,0,9,7,E01020550,-1,0,0.09162,0.90838,-1
2020010282132,2020,010282132,1,1,3,2,45,7,2,2,1,0,0,0,0,3,E01001242,-1,0,1,0,-1
2020160980492,2020,160980492,2,1,1,2,50,8,2,0,0,0,0,0,1,3,E01012899,7,1,1,0,-1
2020230977704,2020,230977704,1,1,3,1,12,3,2,6,9,0,0,0,0,2,E01029842,7,1,1,0,-1
2020522004180,2020,522004180,2,1,1,1,50,8,3,0,0,0,0,0,5,7,E01015017,-1,0,0.07082,0.92918,-1
2020010253424,2020,010253424,3,2,2,2,42,7,3,0,0,1,0,0,9,6,E01001040,-1,0,0,1,-1
202031C055720,2020,31C055720,1,1,1,1,20,4,3,0,0,0,0,0,9,4,E01027933,-1,0,0.06616,0.93384,-1
2020371007992,2020,371007992,1,1,1,2,31,6,3,0,0,0,0,0,9,6,E01030080,3,1,0,1,-1
2020460930359,2020,460930359,3,1,1,1,27,6,3,0,0,0,0,0,9,3,E01016146,3,1,0,1,-1
2020470925321,2020,470925321,2,1,1,2,58,9,2,0,0,0,0,0,9,2,E01031371,7,1,1,0,-1
2020991003888,2020,991003888,2,1,1,1,53,8,3,0,0,0,0,0,11,1,-1,3,1,0,1,-1
2020010246992,2020,010246992,1,1,1,1,14,3,2,0,0,0,0,0,1,8,E01003798,-1,0,1,0,-1
2020552000517,2020,552000517,2,1,1,1,20,4,2,0,0,0,0,0,1,5,E01015427,-1,0,1,0,-1
2020211023865,2020,211023865,1,1,1,1,20,4,3,0,0,0,0,0,3,2,E01014302,3,1,0,1,-1
2020460984203,2020,460984203,1,1,1,2,49,8,2,0,0,0,0,0,9,5,E01024711,7,1,1,0,-1
2020010274082,2020,010274082,1,1,1,1,26,6,3,0,0,0,0,0,9,5,E01002651,-1,0,0,1,-1
2020030962769,2020,030962769,1,2,2,2,12,3,3,0,0,1,0,0,9,7,E01019169,3,1,0,1,-1
2020421015133,2020,421015133,1,1,3,2,45,7,3,6,9,0,0,0,0,9,E01021456,3,1,0,1,-1
2020010281147,2020,010281147,2,1,1,1,20,4,3,0,0,0,0,0,1,4,E01003913,-1,0,0,1,-1
2020332000641,2020,332000641,2,1,1,1,13,3,3,0,0,0,0,0,1,1,E01013679,-1,0,0.05823,0.94177,-1
2020480992583,2020,480992583,2,1,1,1,30,6,2,0,0,0,0,0,1,-1,-1,7,1,1,0,-1
2020200979839,2020,200979839,2,1,2,1,60,9,2,0,0,2,0,0,8,5,E01009654,7,1,1,0,-1
2020010277222,2020,010277222,1,1,1,2,42,7,3,0,0,0,0,0,9,6,E01002170,-1,0,0,1,-1
2020420945639,2020,420945639,1,3,2,1,20,4,3,0,0,2,0,0,9,4,E01033127,3,1,0,1,-1
2020440116309,2020,440116309,2,2,2,2,29,6,3,0,0,1,0,0,9,9,E01022712,-1,0,0.01359,0.98641,-1
2020530983347,2020,530983347,1,1,1,1,58,9,3,0,0,0,0,0,9,7,E01022376,3,1,0,1,-1
2020440259344,2020,440259344,1,2,2,2,63,9,2,0,0,0,0,0,10,3,E01023107,-1,0,1,0,-1
2020010285018,2020,010285018,2,1,1,1,27,6,3,0,0,0,0,0,3,5,E01000321,-1,0,0,1,-1
2020010260492,2020,010260492,1,1,1,1,33,6,3,0,0,0,0,0,9,9,E01030704,-1,0,0,1,-1
202063D060820,2020,63D060820,2,1,1,1,64,9,3,0,0,0,0,0,9,4,W01000438,-1,0,0.09688,0.90312,-1
2020350976961,2020,350976961,1,2,2,1,53,8,2,0,0,1,0,0,9,2,E01018063,6,1,1,0,-1
202031B086820,2020,31B086820,2,2,2,2,13,3,2,0,0,1,0,0,19,6,E01028312,-1,0,1,0,-1
2020200993525,2020,200993525,2,1,1,1,-1,-1,3,0,0,0,0,0,9,2,E01010268,3,1,0,1,-1
2020990982491,2020,990982491,2,1,1,1,43,7,3,0,0,0,0,0,1,7,-1,3,1,0,1,-1
2020450982499,2020,450982499,1,1,1,2,73,10,3,0,0,0,0,0,9,10,E01002938,3,1,0,1,-1
2020220974931,2020,220974931,2,1,2,2,9,2,3,0,0,0,0,0,19,2,E01013994,3,1,0,1,-1
2020420953862,2020,420953862,3,2,2,2,40,7,3,0,0,0,0,0,19,3,E01023343,3,1,0,1,-1
2020040978175,2020,040978175,3,3,1,2,57,9,3,0,0,0,0,0,9,6,E01012618,3,1,0,1,-1
2020430218195,2020,430218195,1,2,2,1,47,8,2,0,0,1,0,0,9,9,E01023823,-1,0,1,0,-1
2020552001191,2020,552001191,3,2,2,1,33,6,3,0,0,1,0,0,9,7,E01015340,-1,0,0.01502,0.98498,-1
2020430347000,2020,430347000,2,1,1,1,30,6,3,0,0,0,0,0,1,8,E01028603,-1,0,0.03435,0.96565,-1
2020010280687,2020,010280687,2,1,1,1,19,4,3,0,0,0,0,0,3,2,E01001441,-1,0,0,1,-1
2020010257731,2020,010257731,1,1,1,1,27,6,3,0,0,0,0,0,9,3,E01000499,-1,0,0,1,-1
2020010232359,2020,010232359,1,1,1,1,36,7,3,0,0,0,0,0,11,2,E01031983,-1,0,0,1,-1
2020211031994,2020,211031994,1,1,3,1,34,6,3,4,1,0,0,0,0,1,E01009957,3,1,0,1,-1
2020522100662,2020,522100662,2,1,1,1,31,6,3,0,0,0,0,0,1,6,E01014633,-1,0,0.08364,0.91636,-1
2020010234902,2020,010234902,1,1,1,2,33,6,3,0,0,0,0,0,9,8,E01001022,-1,0,0,1,-1
2020302000521,2020,302000521,1,1,1,1,39,7,3,0,0,0,0,0,9,4,E01019573,-1,0,0.07606,0.92394,-1
2020460986398,2020,460986398,2,2,1,1,19,4,3,0,0,0,0,0,9,4,E01024570,3,1,0,1,-1
202060Y020821,2020,60Y020821,3,1,1,2,31,6,3,0,0,0,0,0,9,-1,-1,-1,0,0.0192,0.9808,-1
202031B174820,2020,31B174820,1,1,3,1,11,3,3,4,3,0,0,0,0,6,E01028043,-1,0,0.17348,0.82652,-1
2020010233169,2020,010233169,1,1,1,1,36,7,3,0,0,0,0,0,9,3,E01004568,-1,0,0,1,-1
2020052001366,2020,052001366,2,1,1,1,17,4,3,0,0,0,0,0,1,1,E01007133,-1,0,0.11253,0.88747,-1
2020160983037,2020,160983037,2,1,1,1,24,5,3,0,0,0,0,0,1,1,E01012917,3,1,0,1,-1
2020052000435,2020,052000435,1,2,2,2,64,9,3,0,0,2,0,0,9,1,E01007124,-1,0,0.05399,0.94601,-1
2020430218491,2020,430218491,2,2,2,2,29,6,3,0,0,1,0,0,9,10,E01016625,-1,0,0.0369,0.9631,-1
2020470956301,2020,470956301,1,1,1,1,49,8,3,0,0,0,0,0,9,2,E01021091,3,1,0,1,-1
202031C020620,2020,31C020620,1,1,2,2,55,8,3,0,0,0,3,0,11,-1,-1,-1,0,0.10783,0.89217,-1
2020100916559,2020,100916559,1,1,3,1,34,6,3,1,1,0,0,0,0,2,E01008664,3,1,0,1,-1
2020030946181,2020,030946181,1,2,2,1,26,6,3,0,0,1,0,0,9,-1,-1,3,1,0,1,-1
2020340N03812,2020,340N03812,2,1,1,2,43,7,3,0,0,0,0,0,9,-1,-1,-1,0,0.00927,0.99073,-1
2020010228907,2020,010228907,1,3,2,1,0,1,3,0,0,0,3,0,11,6,E01002293,-1,0,0,1,-1
2020010248171,2020,010248171,1,1,3,2,9,2,2,5,1,0,0,0,0,9,E01001299,-1,0,1,0,-1
2020470971011,2020,470971011,2,1,1,2,31,6,3,0,0,0,0,0,9,7,E01031633,3,1,0,1,-1
2020530967790,2020,530967790,1,2,2,2,84,11,3,0,0,1,0,0,9,6,E01009924,3,1,0,1,-1
2020100930856,2020,100930856,1,2,2,2,18,4,3,0,0,1,0,0,9,1,E01008829,3,1,0,1,-1
2020220975667,2020,220975667,1,3,2,2,26,6,3,0,0,1,0,0,9,2,E01009512,3,1,0,1,-1
2020010268751,2020,010268751,2,1,1,1,32,6,2,0,0,0,0,0,1,2,E01001719,-1,0,1,0,-1
2020520003082,2020,520003082,1,1,3,2,25,5,3,6,9,0,0,0,0,5,E01029193,-1,0,0.03068,0.96932,-1
2020340W05842,2020,340W05842,2,1,1,1,70,10,3,0,0,0,0,0,1,-1,-1,-1,0,0.08249,0.91751,-1
2020552000670,2020,552000670,1,1,1,1,45,7,3,0,0,0,0,0,1,5,E01020503,-1,0,0.16343,0.83657,-1
2020200954503,2020,200954503,2,2,1,1,53,8,2,0,0,0,0,0,9,1,E01008918,6,1,1,0,-1
2020440197748,2020,440197748,1,1,1,1,24,5,3,0,0,0,0,0,9,4,E01017309,-1,0,0.10889,0.89111,-1
2020990917837,2020,990917837,1,1,1,2,28,6,2,0,0,0,0,0,9,10,-1,5,1,1,0,-1
2020470924424,2020,470924424,2,1,1,2,43,7,2,0,0,0,0,0,9,1,E01020995,5,1,1,0,-1
2020420989792,2020,420989792,1,1,3,2,11,3,3,6,9,0,0,0,0,8,E01021766,3,1,0,1,-1
2020420963029,2020,420963029,2,1,1,1,58,9,3,0,0,0,0,0,9,3,E01029916,3,1,0,1,-1
2020461013155,2020,461013155,1,1,1,1,28,6,3,0,0,0,0,0,9,1,E01024683,3,1,0,1,-1
2020520100515,2020,520100515,1,3,2,1,17,4,3,0,0,2,0,0,9,7,E01029317,-1,0,0.04728,0.95272,-1
2020990929363,2020,990929363,1,2,2,2,23,5,3,0,0,1,0,0,9,3,-1,3,1,0,1,-1
2020010282536,2020,010282536,1,1,2,1,-1,-1,3,0,0,0,3,0,11,-1,-1,-1,0,0,1,-1
2020010282615,2020,010282615,1,1,1,1,40,7,3,0,0,0,0,0,1,4,E01002698,-1,0,0,1,-1
2020990941019,2020,990941019,1,1,3,1,51,8,2,5,3,0,0,0,0,10,-1,7,1,1,0,-1
2020991009709,2020,991009709,1,1,3,1,12,3,3,5,2,0,0,0,0,8,-1,3,1,0,1,-1
2020470969088,2020,470969088,2,1,1,1,55,8,3,0,0,0,0,0,3,3,E01031569,3,1,0,1,-1
2020500963141,2020,500963141,1,1,1,1,18,4,3,0,0,0,0,0,3,5,E01020296,3,1,0,1,-1
2020400926116,2020,400926116,2,2,1,1,30,6,3,0,0,0,0,0,9,6,E01018196,3,1,0,1,-1
2020420965372,2020,420965372,2,2,2,2,67,10,3,0,0,1,0,0,9,6,E01002296,3,1,0,1,-1
2020421003891,2020,421003891,1,3,1,1,28,6,3,0,0,0,0,0,9,7,E01021887,3,1,0,1,-1
2020522100775,2020,522100775,2,2,2,2,70,10,3,0,0,1,0,0,9,-1,-1,-1,0,0.07667,0.92333,-1
2020070559495,2020,070559495,2,1,1,1,28,6,2,0,0,0,0,0,1,3,E01012417,-1,0,1,0,-1
2020332000366,2020,332000366,3,3,1,1,51,8,2,0,0,0,0,0,5,4,E01025843,-1,0,1,0,-1
2020430401187,2020,430401187,3,1,1,2,43,7,3,0,0,0,0,0,9,7,E01017925,-1,0,0.02283,0.97717,-1
2020010250036,2020,010250036,2,1,1,1,29,6,3,0,0,0,0,0,1,2,E01000548,-1,0,0,1,-1
2020010272272,2020,010272272,1,1,1,1,34,6,3,0,0,0,0,0,3,7,E01000493,-1,0,0,1,-1
2020360940318,2020,360940318,1,2,2,2,21,5,3,0,0,1,0,0,9,6,E01026535,3,1,0,1,-1
2020552000813,2020,552000813,2,2,2,1,27,6,3,0,0,2,0,0,9,9,E01020385,-1,0,0.04192,0.95808,-1
2020010248587,2020,010248587,1,1,1,1,59,9,3,0,0,0,0,0,1,2,E01002843,-1,0,0,1,-1
2020010267057,2020,010267057,1,1,1,1,52,8,3,0,0,0,0,0,9,5,E01003195,-1,0,0,1,-1
202031B107720,2020,31B107720,1,1,1,1,26,6,3,0,0,0,0,0,9,1,E01028068,-1,0,0.01672,0.98328,-1
2020420957172,2020,420957172,1,3,2,1,18,4,3,0,0,2,0,0,9,5,E01029313,3,1,0,1,-1
2020460977894,2020,460977894,1,2,2,1,21,5,3,0,0,1,0,0,9,3,E01024399,3,1,0,1,-1
2020990953130,2020,990953130,2,1,1,1,39,7,2,0,0,0,0,0,1,9,-1,6,1,1,0,-1
2020010250549,2020,010250549,1,1,1,1,44,7,3,0,0,0,0,0,9,5,E01003760,-1,0,0,1,-1
2020030920267,2020,030920267,1,1,1,1,31,6,3,0,0,0,0,0,9,9,E01004843,3,1,0,1,-1
202006G167886,2020,06G167886,1,1,1,1,22,5,3,0,0,0,0,0,9,7,E01005749,-1,0,0.05282,0.94718,-1
2020170M10180,2020,170M10180,2,2,2,2,34,6,3,0,0,1,0,0,9,-1,-1,-1,0,0.03552,0.96448,-1
2020522002156,2020,522002156,1,1,3,1,20,4,2,5,3,0,0,0,0,1,E01014574,-1,0,1,0,-1
2020070178082,2020,070178082,2,3,2,2,48,8,3,0,0,1,0,0,9,10,E01029770,-1,0,0.06913,0.93087,-1
2020450943085,2020,450943085,1,1,1,1,82,11,3,0,0,0,0,0,9,8,E01030654,3,1,0,1,-1
2020471000377,2020,471000377,1,1,1,1,22,5,3,0,0,0,0,0,9,10,E01022632,3,1,0,1,-1
2020052000070,2020,052000070,1,1,3,1,84,11,1,1,4,0,0,0,0,8,E01007154,-1,0,0,0,-1
2020052001000,2020,052001000,2,1,1,1,22,5,2,0,0,0,0,0,1,1,E01006416,-1,0,1,0,-1
2020010262554,2020,010262554,1,1,1,1,41,7,3,0,0,0,0,0,4,-1,-1,-1,0,0,1,-1
2020500941564,2020,500941564,2,1,1,1,43,7,3,0,0,0,0,0,4,7,E01020206,3,1,0,1,-1
2020040966963,2020,040966963,2,1,1,1,42,7,2,0,0,0,0,0,5,1,E01012637,7,1,1,0,-1
2020010273110,2020,010273110,2,2,2,1,28,6,3,0,0,1,0,0,9,5,E01000240,-1,0,0,1,-1
2020501015686,2020,501015686,1,1,2,1,23,5,3,0,0,1,0,0,9,1,E01015231,3,1,0,1,-1
2020430148218,2020,430148218,1,1,1,1,30,6,3,0,0,0,0,0,1,-1,-1,-1,0,0.12359,0.87641,-1
2020340K00522,2020,340K00522,2,1,1,2,72,10,3,0,0,0,0,0,8,-1,-1,-1,0,0.03016,0.96984,-1
202006Q268642,2020,06Q268642,1,2,2,1,33,6,3,0,0,1,0,0,9,1,E01005352,-1,0,0.11058,0.88942,-1
2020522101043,2020,522101043,1,2,2,2,20,4,3,0,0,2,0,0,9,-1,-1,-1,0,0.05312,0.94688,-1
2020010254055,2020,010254055,1,1,3,2,51,8,2,6,9,0,0,0,0,7,E01003651,-1,0,1,0,-1
2020010260662,2020,010260662,1,2,2,1,15,3,3,0,0,1,0,0,9,4,E01002549,-1,0,0,1,-1
2020010263518,2020,010263518,1,1,1,2,24,5,3,0,0,0,0,0,9,1,E01001545,-1,0,0,1,-1
2020361002292,2020,361002292,2,1,1,1,38,7,2,0,0,0,0,0,9,2,E01026820,6,1,1,0,-1
2020302001650,2020,302001650,1,1,1,1,36,7,3,0,0,0,0,0,19,1,E01013893,-1,0,0.08553,0.91447,-1
2020360937760,2020,360937760,2,2,2,1,17,4,3,0,0,0,0,0,23,4,E01026794,3,1,0,1,-1
2020500975226,2020,500975226,2,1,1,1,36,7,2,0,0,0,0,0,2,3,E01019042,6,1,1,0,-1
20201371B1363,2020,1371B1363,2,1,1,1,69,10,3,0,0,0,0,0,9,10,E01011213,-1,0,0.13842,0.86158,-1
2020430050698,2020,430050698,1,1,1,2,45,7,3,0,0,0,0,0,9,3,E01016444,-1,0,0.00312,0.99688,-1
2020520003975,2020,520003975,1,1,1,2,36,7,3,0,0,0,0,0,9,9,E01029294,-1,0,0.01264,0.98736,-1
2020010271147,2020,010271147,1,1,3,2,8,2,2,5,1,0,0,0,0,2,E01001014,-1,0,1,0,-1
2020137CA0531,2020,137CA0531,2,1,1,1,52,8,3,0,0,0,0,0,1,7,E01011162,-1,0,0.10125,0.89875,-1
2020231003215,2020,231003215,2,1,1,1,47,8,3,0,0,0,0,0,1,7,E01032588,3,1,0,1,-1
2020430059033,2020,430059033,1,1,1,1,35,6,3,0,0,0,0,0,9,7,E01033509,-1,0,0.04419,0.95581,-1
2020450935366,2020,450935366,2,2,2,2,18,4,3,0,0,2,0,0,9,5,E01030981,3,1,0,1,-1
2020010267846,2020,010267846,1,1,1,1,51,8,3,0,0,0,0,0,1,6,E01024452,-1,0,0,1,-1
202006N366842,2020,06N366842,2,1,1,1,25,5,3,0,0,0,0,0,9,-1,-1,-1,0,0.03192,0.96808,-1
2020010281689,2020,010281689,2,4,1,1,37,7,3,0,0,0,0,0,9,2,E01032580,-1,0,0,1,-1
2020161004287,2020,161004287,2,1,1,2,64,9,3,0,0,0,0,0,1,10,E01013112,3,1,0,1,-1
2020041002223,2020,041002223,1,1,1,1,36,7,3,0,0,0,0,0,9,6,E01024982,3,1,0,1,-1
2020421003833,2020,421003833,2,1,1,1,44,7,3,0,0,0,0,0,9,1,E01026826,3,1,0,1,-1
2020430022281,2020,430022281,1,1,1,2,72,10,3,0,0,0,0,0,9,8,E01028737,-1,0,0.06408,0.93592,-1
2020500992025,2020,500992025,1,1,1,1,42,7,3,0,0,0,0,0,9,4,E01018895,3,1,0,1,-1
2020522002038,2020,522002038,1,1,1,1,25,5,3,0,0,0,0,0,1,2,E01014630,-1,0,0.05358,0.94642,-1
2020010272334,2020,010272334,1,1,2,1,20,4,3,0,0,1,0,0,9,4,E01024099,-1,0,0,1,-1
2020201013311,2020,201013311,2,2,1,2,36,7,3,0,0,0,0,0,9,2,E01009788,3,1,0,1,-1
2020450914646,2020,450914646,1,2,1,2,22,5,2,0,0,0,0,0,9,8,E01024419,7,1,1,0,-1
2020500975786,2020,500975786,1,1,1,2,26,6,3,0,0,0,0,0,9,6,E01018959,3,1,0,1,-1
202060Y006046,2020,60Y006046,2,1,1,2,51,8,2,0,0,0,0,0,9,-1,-1,-1,0,1,0,-1
2020010258450,2020,010258450,2,2,1,1,52,8,3,0,0,0,0,0,11,4,E01002681,-1,0,0,1,-1
2020100916539,2020,100916539,1,1,1,1,20,4,3,0,0,0,0,0,9,3,E01008441,3,1,0,1,-1
2020200992622,2020,200992622,1,3,2,2,25,5,3,0,0,1,0,0,9,5,E01010160,3,1,0,1,-1
202031B008220,2020,31B008220,1,1,1,2,26,6,3,0,0,0,0,0,9,4,E01028335,-1,0,0.01143,0.98857,-1
2020450990052,2020,450990052,1,4,2,1,16,4,3,0,0,1,0,0,9,4,E01030503,3,1,0,1,-1
2020990925543,2020,990925543,2,2,2,2,21,5,3,0,0,2,0,0,9,7,-1,3,1,0,1,-1
2020070554168,2020,070554168,1,1,1,1,11,3,3,0,0,0,0,0,1,2,E01018542,-1,0,0.13832,0.86168,-1
2020030950937,2020,030950937,1,2,2,2,52,8,3,0,0,1,0,0,9,2,E01019108,3,1,0,1,-1
2020410933152,2020,410933152,2,2,2,1,3,1,3,0,0,-1,0,0,9,4,E01023774,3,1,0,1,-1
2020440387678,2020,440387678,1,1,1,1,33,6,3,0,0,0,0,0,9,9,E01022697,-1,0,0.07782,0.92218,-1
2020450991474,2020,450991474,2,2,2,1,76,11,2,0,0,1,0,0,9,9,E01030823,6,1,1,0,-1
2020460931840,2020,460931840,2,1,1,1,26,6,3,0,0,0,0,0,9,5,E01016029,3,1,0,1,-1
2020470976868,2020,470976868,1,1,1,2,52,8,3,0,0,0,0,0,9,6,E01021046,3,1,0,1,-1
2020552000406,2020,552000406,2,1,1,1,37,7,3,0,0,0,0,0,1,2,E01015367,-1,0,0.10115,0.89885,-1
2020010254750,2020,010254750,1,1,1,1,40,7,3,0,0,0,0,0,5,8,E01021433,-1,0,0,1,-1
2020230998375,2020,230998375,1,1,2,1,31,6,3,0,0,1,0,0,9,5,E01031093,3,1,0,1,-1
2020201004546,2020,201004546,1,1,1,1,26,6,3,0,0,0,0,0,3,-1,-1,3,1,0,1,-1
2020070375773,2020,070375773,1,1,3,2,22,5,3,10,9,0,0,0,0,8,E01018670,-1,0,0.14559,0.85441,-1
2020460974702,2020,460974702,1,1,3,1,21,5,3,9,8,0,0,0,0,1,E01024661,3,1,0,1,-1
2020220999105,2020,220999105,2,1,1,1,16,4,3,0,0,0,0,0,2,2,E01013994,3,1,0,1,-1
2020110995297,2020,110995297,1,1,1,1,32,6,2,0,0,0,0,0,5,4,E01020861,7,1,1,0,-1
2020470926684,2020,470926684,2,1,2,2,-1,-1,3,0,0,2,0,0,9,5,E01021000,3,1,0,1,-1
2020052000477,2020,052000477,2,1,1,1,11,3,2,0,0,0,0,0,1,3,E01007020,-1,0,1,0,-1
2020400971907,2020,400971907,2,3,2,1,19,4,3,0,0,1,0,0,9,4,E01015784,3,1,0,1,-1
2020470986677,2020,470986677,1,1,1,1,32,6,3,0,0,0,0,0,9,4,E01031596,3,1,0,1,-1
2020332001105,2020,332001105,1,1,1,1,70,10,2,0,0,0,0,0,22,-1,-1,-1,0,1,0,-1
2020010257251,2020,010257251,1,1,1,1,47,8,3,0,0,0,0,0,9,-1,-1,-1,0,0,1,-1
2020070561126,2020,070561126,1,1,2,1,54,8,3,0,0,1,0,0,9,1,E01012479,-1,0,0.04525,0.95475,-1
2020430233641,2020,430233641,1,1,2,2,28,6,3,0,0,2,0,0,9,9,E01033512,-1,0,0.02496,0.97504,-1
2020530982383,2020,530982383,2,1,1,1,81,11,2,0,0,0,0,0,9,6,E01022236,5,1,1,0,-1
202031A167320,2020,31A167320,1,2,2,2,9,2,3,0,0,2,0,0,9,2,E01027942,-1,0,0.00702,0.99298,-1
2020991000476,2020,991000476,1,1,1,1,24,5,3,0,0,0,0,0,9,5,-1,3,1,0,1,-1
2020201019044,2020,201019044,1,1,3,2,57,9,3,6,9,0,0,2,0,2,E01010003,3,1,0,1,-1
2020010248971,2020,010248971,2,1,1,2,37,7,3,0,0,0,0,0,1,9,E01002417,-1,0,0,1,-1
2020010271460,2020,010271460,1,1,1,1,34,6,3,0,0,0,0,0,1,5,E01003411,-1,0,0,1,-1
2020072000994,2020,072000994,4,3,1,1,40,7,3,0,0,0,0,0,9,-1,-1,-1,0,0.04947,0.95053,-1
2020340E00902,2020,340E00902,2,2,1,2,53,8,3,0,0,0,0,0,9,-1,-1,-1,0,0.09213,0.90787,-1
2020200955115,2020,200955115,1,1,1,1,30,6,3,0,0,0,0,0,9,2,E01010071,3,1,0,1,-1
2020200987060,2020,200987060,1,1,1,1,18,4,3,0,0,0,0,0,9,1,E01009057,3,1,0,1,-1
2020622000834,2020,622000834,1,1,1,2,28,6,3,0,0,0,0,0,9,4,W01001248,-1,0,0.03456,0.96544,-1
2020010249780,2020,010249780,2,1,1,1,29,6,3,0,0,0,0,0,1,2,E01004435,-1,0,0,1,-1
2020010255968,2020,010255968,2,1,1,1,33,6,3,0,0,0,0,0,1,2,E01000104,-1,0,0,1,-1
2020100945673,2020,100945673,2,2,1,1,49,8,3,0,0,0,0,0,1,4,E01027421,3,1,0,1,-1
2020010238555,2020,010238555,1,1,1,1,17,4,3,0,0,0,0,0,2,3,E01003734,-1,0,0,1,-1
2020010285438,2020,010285438,1,1,1,2,19,4,3,0,0,0,0,0,9,1,E01002800,-1,0,0,1,-1
2020320291291,2020,320291291,1,1,1,1,31,6,2,0,0,0,0,0,9,3,E01026036,-1,0,1,0,-1
2020610026620,2020,610026620,2,2,1,1,62,9,2,0,0,0,0,0,9,3,W01001645,-1,0,1,0,-1
2020040941960,2020,040941960,1,2,2,2,77,11,2,0,0,0,0,0,17,6,E01025107,5,1,1,0,-1
2020010262526,2020,010262526,1,1,1,1,43,7,3,0,0,0,0,0,9,2,E01001575,-1,0,0,1,-1
2020010264608,2020,010264608,2,2,1,1,91,11,3,0,0,0,0,0,9,9,E01000249,-1,0,0,1,-1
2020040959052,2020,040959052,2,5,2,2,4,1,3,0,0,2,0,0,9,-1,-1,3,1,0,1,-1
2020211028199,2020,211028199,2,2,2,2,50,8,3,0,0,1,0,0,9,-1,-1,3,1,0,1,-1
2020350978025,2020,350978025,2,4,2,2,10,2,3,0,0,1,0,0,9,6,E01018076,3,1,0,1,-1
2020440024176,2020,440024176,1,1,1,2,41,7,3,0,0,0,0,0,9,4,E01022568,-1,0,0.01466,0.98534,-1
2020040930040,2020,040930040,1,1,3,2,11,3,3,5,1,0,0,0,0,5,E01025100,3,1,0,1,-1
2020100940844,2020,100940844,2,1,1,1,76,11,3,0,0,0,0,0,1,10,E01027468,3,1,0,1,-1
2020010239329,2020,010239329,1,1,2,2,21,5,3,0,0,2,0,0,8,2,E01002068,-1,0,0,1,-1
2020010261440,2020,010261440,1,2,2,1,24,5,3,0,0,1,0,0,9,1,E01003486,-1,0,0,1,-1
2020010270451,2020,010270451,1,1,1,2,30,6,3,0,0,0,0,0,9,2,E01000189,-1,0,0,1,-1
2020450986963,2020,450986963,2,1,1,2,40,7,3,0,0,0,0,0,9,2,E01001066,3,1,0,1,-1
